trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
547,False,"{'a': 0.6, 'e': 0.004096863033647498}",35,26,16.1650276086755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.6, 'e': 0.0040558944033110235}",20,7,25.170263989207026,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.6, 'e': 0.004015335459277913}",25,14,23.926293481970564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.6, 'e': 0.003975182104685134}",20,13,14.909469371563068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.6, 'e': 0.003935430283638282}",25,7,32.57849210105867,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.6, 'e': 0.0038960759808018995}",20,14,11.879819397325717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.6, 'e': 0.0038571152209938807}",20,2,0.494737288809294,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
554,False,"{'a': 0.6, 'e': 0.0038185440687839418}",30,14,27.33517331133906,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.6, 'e': 0.003780358628096102}",30,15,27.991048092614935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.6, 'e': 0.0037425550418151415}",20,9,17.622512556966687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.6, 'e': 0.0037051294913969897}",20,10,15.928372246225653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.6, 'e': 0.00366807819648302}",20,9,15.514976094696944,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.6, 'e': 0.0036313974145181895}",20,9,20.294897938218263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.6, 'e': 0.003595083440373008}",20,14,9.71108521704544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.6, 'e': 0.003559132605969278}",20,12,15.489820583139721,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.6, 'e': 0.003523541279909585}",20,7,17.745673973922568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.6, 'e': 0.003488305867110489}",20,16,7.1573557443381475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.6, 'e': 0.003453422808439384}",30,17,24.86654565465294,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.6, 'e': 0.0034188885803549903}",20,13,11.946202785312455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.6, 'e': 0.0033846996945514404}",25,18,10.791385245441163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.6, 'e': 0.003350852697605926}",20,8,23.09798691609432,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.6, 'e': 0.0033173441706298664}",25,14,21.738771495149667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.6, 'e': 0.0032841707289235677}",25,14,18.914625977516753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.6, 'e': 0.003251329021634332}",25,9,28.150667262653585,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.6, 'e': 0.0032188157314179885}",20,3,-17.076531694419288,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
572,False,"{'a': 0.6, 'e': 0.003186627574103809}",25,10,26.995118653411662,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.6, 'e': 0.0031547612983627705}",20,7,20.445093161751448,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.6, 'e': 0.003123213685379143}",25,3,30.548003474623535,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.6, 'e': 0.0030919815485253516}",20,16,6.907330628693838,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.6, 'e': 0.003061061733040098}",20,7,24.097623778745955,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.6, 'e': 0.003030451115709697}",20,14,10.667463241212014,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.6, 'e': 0.0030001466045526}",30,16,25.756540726885483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.6, 'e': 0.002970145138507074}",20,14,10.876918471204446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.6, 'e': 0.002940443687122003}",25,14,19.969702918675356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.6, 'e': 0.002911039250250783}",30,14,27.218965912454674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.6, 'e': 0.0028819288577482754}",25,9,32.09610961726777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.6, 'e': 0.0028531095691707925}",20,10,19.548226313739388,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.6, 'e': 0.0028245784734790844}",20,0,-7.84950910381007,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
585,False,"{'a': 0.6, 'e': 0.0027963326887442937}",25,4,-7.755108081937944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
586,False,"{'a': 0.6, 'e': 0.0027683693618568506}",30,18,23.229649908215755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.6, 'e': 0.002740685668238282}",20,2,14.038924898274818,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
588,False,"{'a': 0.6, 'e': 0.0027132788115558993}",20,6,24.716563578831476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.6, 'e': 0.0026861460234403403}",25,16,19.623305408188116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.6, 'e': 0.002659284563205937}",30,15,23.695562092751572,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.6, 'e': 0.0026326917175738774}",20,11,18.34875847166081,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.6, 'e': 0.0026063648003981387}",30,8,32.37242500440188,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.6, 'e': 0.0025803011523941573}",25,16,16.153061214915688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.6, 'e': 0.0025544981408702158}",20,9,19.97020268215642,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.6, 'e': 0.0025289531594615135}",30,16,25.600026391982283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.6, 'e': 0.0025036636278668984}",20,13,11.800861778203306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.6, 'e': 0.0024786269915882293}",20,11,18.45247971015419,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.6, 'e': 0.002453840721672347}",25,17,15.866958523274644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.6, 'e': 0.0024293023144556234}",25,9,28.598389562759337,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.6, 'e': 0.0024050092913110673}",20,12,16.22152141093531,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.6, 'e': 0.0023809591983979567}",20,13,11.601546315171039,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.6, 'e': 0.002357149606413977}",30,13,4.00717322626269,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
603,False,"{'a': 0.6, 'e': 0.002333578110349837}",25,0,35.147395956071996,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
604,False,"{'a': 0.6, 'e': 0.0023102423292463386}",20,10,17.170917662904056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.6, 'e': 0.0022871399059538754}",20,11,12.733226682638655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.6, 'e': 0.0022642685068943367}",20,0,28.693651920973185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
607,False,"{'a': 0.6, 'e': 0.002241625821825393}",20,12,11.88108938378553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.6, 'e': 0.0022192095636071395}",30,21,17.04999887071112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.6, 'e': 0.002197017467971068}",20,10,18.358039957095826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.6, 'e': 0.002175047293291357}",20,13,13.902666362969104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.6, 'e': 0.002153296820358444}",20,6,23.028377133298967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.6, 'e': 0.0021317638521548593}",20,16,8.120862452443625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.6, 'e': 0.0021104462136333105}",20,0,17.309411122371998,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
614,False,"{'a': 0.6, 'e': 0.0020893417514969773}",30,7,34.494849457730275,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.6, 'e': 0.0020684483339820075}",25,13,22.191287049060186,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.6, 'e': 0.0020477638506421875}",30,8,12.60089798568561,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
